Ad Year Group,Ad Week,Start Date,End Date,Date Range,Notes (as shown on calendar)
Carryover (prior ad-year),49,2026-01-04,2026-01-10,2026-01-04–2026-01-10,
Carryover (prior ad-year),50,2026-01-11,2026-01-17,2026-01-11–2026-01-17,
Carryover (prior ad-year),51,2026-01-18,2026-01-24,2026-01-18–2026-01-24,2026-01-19: Martin Luther King Jr. Day
Carryover (prior ad-year),52,2026-01-25,2026-01-31,2026-01-25–2026-01-31,2026-01-28: U.S. Coast Guard Established (1915)
Ad-Year (Feb 2026–Jan 2027),1,2026-02-01,2026-02-07,2026-02-01–2026-02-07,2026-02-04: USO Birthday (1941)
Ad-Year (Feb 2026–Jan 2027),2,2026-02-08,2026-02-14,2026-02-08–2026-02-14,2026-02-12: Lincoln’s Birthday; 2026-02-14: Valentine’s Day
Ad-Year (Feb 2026–Jan 2027),3,2026-02-15,2026-02-21,2026-02-15–2026-02-21,2026-02-16: Presidents Day; 2026-02-17: Washington’s Birthday; 2026-02-19: Coast Guard Reserve Birthday (1939)
Ad-Year (Feb 2026–Jan 2027),4,2026-02-22,2026-02-28,2026-02-22–2026-02-28,
Ad-Year (Feb 2026–Jan 2027),5,2026-03-01,2026-03-07,2026-03-01–2026-03-07,2026-03-03: Fire Controlman (FC) Est. 1915; 2026-03-03: Aerographer’s Mate (AG) Birthday (1896); 2026-03-05: Seabees Birthday (1942)
Ad-Year (Feb 2026–Jan 2027),6,2026-03-08,2026-03-14,2026-03-08–2026-03-14,2026-03-08: Daylight Savings Begins
Ad-Year (Feb 2026–Jan 2027),7,2026-03-15,2026-03-21,2026-03-15–2026-03-21,2026-03-17: St. Patrick’s Day; 2026-03-20: First Day of Spring
Ad-Year (Feb 2026–Jan 2027),8,2026-03-22,2026-03-28,2026-03-22–2026-03-28,
Ad-Year (Feb 2026–Jan 2027),9,2026-03-29,2026-04-04,2026-03-29–2026-04-04,2026-04-01: BDO Anniversary of NEXCOM
Ad-Year (Feb 2026–Jan 2027),10,2026-04-05,2026-04-11,2026-04-05–2026-04-11,2026-04-05: Easter; 2026-04-09: National Former POW Recognition Day
Ad-Year (Feb 2026–Jan 2027),11,2026-04-12,2026-04-18,2026-04-12–2026-04-18,2026-04-14: Air Force Reserve Birthday (1948)
Ad-Year (Feb 2026–Jan 2027),12,2026-04-19,2026-04-25,2026-04-19–2026-04-25,
Ad-Year (Feb 2026–Jan 2027),13,2026-04-26,2026-05-02,2026-04-26–2026-05-02,2026-05-01: Silver Star Service Banner Day
Ad-Year (Feb 2026–Jan 2027),14,2026-05-03,2026-05-09,2026-05-03–2026-05-09,2026-05-08: V-E Day (1945)
Ad-Year (Feb 2026–Jan 2027),15,2026-05-10,2026-05-16,2026-05-10–2026-05-16,2026-05-10: Mother’s Day; 2026-05-10: National Train Day; 2026-05-13: Navy Nurse Corps Est. 1908; 2026-05-16: Armed Forces Day
Ad-Year (Feb 2026–Jan 2027),16,2026-05-17,2026-05-23,2026-05-17–2026-05-23,
Ad-Year (Feb 2026–Jan 2027),17,2026-05-24,2026-05-30,2026-05-24–2026-05-30,2026-05-25: Memorial Day
Ad-Year (Feb 2026–Jan 2027),18,2026-05-31,2026-06-06,2026-05-31–2026-06-06,2026-06-06: D-Day
Ad-Year (Feb 2026–Jan 2027),19,2026-06-07,2026-06-13,2026-06-07–2026-06-13,
Ad-Year (Feb 2026–Jan 2027),20,2026-06-14,2026-06-20,2026-06-14–2026-06-20,2026-06-14: Flag Day; 2026-06-14: U.S. Army Est. 1775; 2026-06-17: U.S. Navy Hospital Corps Est. 1898; 2026-06-19: Juneteenth
Ad-Year (Feb 2026–Jan 2027),21,2026-06-21,2026-06-27,2026-06-21–2026-06-27,2026-06-21: Father’s Day; 2026-06-21: First Day of Summer; 2026-06-23: Coast Guard Auxiliary Birthday (1939)
Ad-Year (Feb 2026–Jan 2027),22,2026-06-28,2026-07-04,2026-06-28–2026-07-04,2026-07-04: Independence Day
Ad-Year (Feb 2026–Jan 2027),23,2026-07-05,2026-07-11,2026-07-05–2026-07-11,
Ad-Year (Feb 2026–Jan 2027),24,2026-07-12,2026-07-18,2026-07-12–2026-07-18,
Ad-Year (Feb 2026–Jan 2027),25,2026-07-19,2026-07-25,2026-07-19–2026-07-25,
Ad-Year (Feb 2026–Jan 2027),26,2026-07-26,2026-08-01,2026-07-26–2026-08-01,2026-07-27: National Korean War Veterans Armistice Day; 2026-07-29: U.S. Army Chaplain Corps Est. 1775; 2026-07-30: U.S. Naval Women’s Reserve Est. 1942
Ad-Year (Feb 2026–Jan 2027),27,2026-08-02,2026-08-08,2026-08-02–2026-08-08,2026-08-02: U.S. Coast Guard Est. 1790; 2026-08-07: Purple Heart Day
Ad-Year (Feb 2026–Jan 2027),28,2026-08-09,2026-08-15,2026-08-09–2026-08-15,2026-08-10: U.S. Department of Defense Birthday (1949)
Ad-Year (Feb 2026–Jan 2027),29,2026-08-16,2026-08-22,2026-08-16–2026-08-22,2026-08-16: National Airborne Day; 2026-08-22: U.S. Navy Dental Corps Est. 1912
Ad-Year (Feb 2026–Jan 2027),30,2026-08-23,2026-08-29,2026-08-23–2026-08-29,2026-08-29: Marine Corps Reserve Birthday (1930)
Ad-Year (Feb 2026–Jan 2027),31,2026-08-30,2026-09-05,2026-08-30–2026-09-05,
Ad-Year (Feb 2026–Jan 2027),32,2026-09-06,2026-09-12,2026-09-06–2026-09-12,2026-09-07: Labor Day; 2026-09-11: Patriot Day
Ad-Year (Feb 2026–Jan 2027),33,2026-09-13,2026-09-19,2026-09-13–2026-09-19,2026-09-14: National Navy Family Program Est. 1979; 2026-09-15: Hispanic Heritage Month Begins; 2026-09-17: Constitution Day / Citizenship Day; 2026-09-18: POW/MIA Day; 2026-09-18: Air National Guard Birthday (1947); 2026-09-18: Air Force Birthday (1947)
Ad-Year (Feb 2026–Jan 2027),34,2026-09-20,2026-09-26,2026-09-20–2026-09-26,2026-09-23: First Day of Fall
Ad-Year (Feb 2026–Jan 2027),35,2026-09-27,2026-10-03,2026-09-27–2026-10-03,
Ad-Year (Feb 2026–Jan 2027),36,2026-10-04,2026-10-10,2026-10-04–2026-10-10,2026-10-10: U.S. Naval Academy Est. 1845
Ad-Year (Feb 2026–Jan 2027),37,2026-10-11,2026-10-17,2026-10-11–2026-10-17,2026-10-12: Columbus Day; 2026-10-13: U.S. Navy Birthday (1775)
Ad-Year (Feb 2026–Jan 2027),38,2026-10-18,2026-10-24,2026-10-18–2026-10-24,
Ad-Year (Feb 2026–Jan 2027),39,2026-10-25,2026-10-31,2026-10-25–2026-10-31,2026-10-27: Navy Day; 2026-10-31: Halloween
Ad-Year (Feb 2026–Jan 2027),40,2026-11-01,2026-11-07,2026-11-01–2026-11-07,2026-11-01: Daylight Savings Ends; 2026-11-03: Election Day
Ad-Year (Feb 2026–Jan 2027),41,2026-11-08,2026-11-14,2026-11-08–2026-11-14,2026-11-10: Marine Corps Birthday (1775); 2026-11-11: Veterans Day
Ad-Year (Feb 2026–Jan 2027),42,2026-11-15,2026-11-21,2026-11-15–2026-11-21,
Ad-Year (Feb 2026–Jan 2027),43,2026-11-22,2026-11-28,2026-11-22–2026-11-28,2026-11-26: Thanksgiving; 2026-11-27: Navy Blue Friday; 2026-11-28: Navy Chaplain Corps Birthday (1775)
Ad-Year (Feb 2026–Jan 2027),44,2026-11-29,2026-12-05,2026-11-29–2026-12-05,2026-11-30: Cyber Monday; 2026-12-04: Hanukkah Begins
Ad-Year (Feb 2026–Jan 2027),45,2026-12-06,2026-12-12,2026-12-06–2026-12-12,2026-12-07: Pearl Harbor Remembrance Day
Ad-Year (Feb 2026–Jan 2027),46,2026-12-13,2026-12-19,2026-12-13–2026-12-19,2026-12-13: U.S. National Guard Birthday Est. 1636
Ad-Year (Feb 2026–Jan 2027),47,2026-12-20,2026-12-26,2026-12-20–2026-12-26,2026-12-21: Winter Begins; 2026-12-25: Christmas Day
Ad-Year (Feb 2026–Jan 2027),48,2026-12-27,2027-01-02,2026-12-27–2027-01-02,2027-01-01: New Year’s Day
Ad-Year (Feb 2026–Jan 2027),49,2027-01-03,2027-01-09,2027-01-03–2027-01-09,
Ad-Year (Feb 2026–Jan 2027),50,2027-01-10,2027-01-16,2027-01-10–2027-01-16,
Ad-Year (Feb 2026–Jan 2027),51,2027-01-17,2027-01-23,2027-01-17–2027-01-23,2027-01-18: Martin Luther King Jr. Day
Ad-Year (Feb 2026–Jan 2027),52,2027-01-24,2027-01-30,2027-01-24–2027-01-30,2027-01-28: U.S. Coast Guard Established (1915)
